Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Deandre Ayton,Trail Blazers,5-Nov-23,POR vs. MEM,L,35,3,9,33.30%,0,0,0.00%,0,0,0.00%,2,9,11,0,2,1,3,4,6,-18
Deandre Ayton,Trail Blazers,3-Nov-23,POR vs. MEM,W,36,7,11,63.60%,0,0,0.00%,2,2,100.00%,4,8,12,2,3,1,1,4,16,10
Deandre Ayton,Trail Blazers,1-Nov-23,POR @ DET,W,34,8,13,61.50%,0,0,0.00%,0,0,0.00%,1,10,11,1,5,1,2,0,16,5
Deandre Ayton,Trail Blazers,30-Oct-23,POR @ TOR,W,32,5,9,55.60%,0,0,0.00%,0,0,0.00%,7,16,23,2,1,2,1,1,10,7
Deandre Ayton,Trail Blazers,29-Oct-23,POR @ PHI,L,21,3,7,42.90%,0,0,0.00%,1,1,100.00%,2,7,9,2,2,1,0,3,7,-15
Deandre Ayton,Trail Blazers,27-Oct-23,POR vs. ORL,L,30,7,9,77.80%,0,0,0.00%,0,0,0.00%,4,11,15,1,0,0,2,4,14,6
Deandre Ayton,Trail Blazers,25-Oct-23,POR @ LAC,L,23,2,4,50.00%,0,0,0.00%,0,0,0.00%,3,9,12,1,3,1,3,5,4,-5
Deandre Ayton - Average,Average,,,,31.8,5.6,9.6,56.60%,0,0,0.00%,0.3,0.3,22.20%,2.7,9.6,12.2,1.2,1.8,1,1.8,3.1,11.4,-2.2
Udoka Azubuike,Suns,5-Nov-23,PHX @ DET,W,3,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,1,1,0,0,0,0,1,0,-5
Udoka Azubuike,Suns,28-Oct-23,PHX vs. UTA,W,6,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,3,3,0,0,0,0,0,2,-4
Udoka Azubuike - Average,Average,,,,4.5,0.5,0.5,50.00%,0,0,0.00%,0,0,0.00%,0,2,2,0,0,0,0,0.5,1,-4.5
Marvin Bagley III,Pistons,12-Nov-23,DET @ CHI,L,23,6,12,50.00%,0,1,0.00%,2,2,100.00%,2,3,5,1,0,1,3,1,14,-8
Marvin Bagley III,Pistons,10-Nov-23,DET vs. PHI,L,13,3,4,75.00%,0,0,0.00%,0,0,0.00%,2,3,5,1,0,0,1,2,6,2
Marvin Bagley III,Pistons,8-Nov-23,DET @ MIL,L,20,5,6,83.30%,0,0,0.00%,2,2,100.00%,2,0,2,2,0,1,1,4,12,1
Marvin Bagley III,Pistons,6-Nov-23,DET vs. GSW,L,24,4,8,50.00%,0,0,0.00%,2,2,100.00%,0,2,2,1,0,0,1,1,10,1
Marvin Bagley III,Pistons,5-Nov-23,DET vs. PHX,L,11,3,5,60.00%,0,0,0.00%,5,5,100.00%,1,1,2,1,0,0,1,5,11,7
Marvin Bagley III,Pistons,2-Nov-23,DET @ NOP,L,13,3,7,42.90%,0,0,0.00%,0,0,0.00%,4,5,9,0,0,1,1,0,6,5
Marvin Bagley III,Pistons,1-Nov-23,DET vs. POR,L,33,3,10,30.00%,0,2,0.00%,4,5,80.00%,0,6,6,3,0,2,5,3,10,8
Marvin Bagley III,Pistons,30-Oct-23,DET @ OKC,L,24,3,4,75.00%,0,0,0.00%,7,8,87.50%,1,3,4,1,0,0,0,1,13,0
Marvin Bagley III,Pistons,28-Oct-23,DET vs. CHI,W,15,5,8,62.50%,1,1,100.00%,0,0,0.00%,2,4,6,0,0,0,0,2,11,10
