Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Cole Anthony,Magic,"OCT 30, 2023",ORL @ LAL,L,21.0,4.0,12.0,33.3%,1.0,3.0,33.3%,3.0,4.0,75.0%,0.0,3.0,3.0,2.0,3.0,0.0,1.0,2.0,12.0,-9.0
Cole Anthony,Magic,"OCT 27, 2023",ORL @ POR,W,28.0,6.0,15.0,40.0%,3.0,7.0,42.9%,3.0,6.0,50.0%,1.0,3.0,4.0,2.0,0.0,1.0,1.0,3.0,18.0,-9.0
Cole Anthony,Magic,"OCT 25, 2023",ORL vs. HOU,W,24.0,8.0,12.0,66.7%,1.0,2.0,50.0%,3.0,3.0,100.0%,1.0,7.0,8.0,2.0,0.0,0.0,0.0,2.0,20.0,17.0
Cole Anthony - Average,Average,,,,23.555555555555557,4.222222222222222,9.666666666666666,,1.3333333333333333,3.6666666666666665,,3.7777777777777777,4.777777777777778,,0.6666666666666666,3.2222222222222223,3.888888888888889,2.7777777777777777,0.7777777777777778,0.3333333333333333,2.0,2.4444444444444446,13.555555555555555,-3.888888888888889
OG Anunoby,Raptors,"NOV 11, 2023",TOR @ BOS,L,28.0,3.0,13.0,23.1%,2.0,8.0,25.0%,0.0,0.0,0.0%,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,8.0,-26.0
OG Anunoby,Raptors,"NOV 08, 2023",TOR @ DAL,W,36.0,9.0,17.0,52.9%,3.0,8.0,37.5%,5.0,6.0,83.3%,1.0,4.0,5.0,2.0,0.0,0.0,2.0,4.0,26.0,9.0
OG Anunoby,Raptors,"NOV 05, 2023",TOR @ SAS,W,38.0,8.0,16.0,50.0%,7.0,13.0,53.8%,1.0,4.0,25.0%,2.0,4.0,6.0,4.0,2.0,0.0,1.0,3.0,24.0,8.0
OG Anunoby,Raptors,"NOV 02, 2023",TOR @ PHI,L,33.0,7.0,12.0,58.3%,2.0,4.0,50.0%,0.0,0.0,0.0%,1.0,3.0,4.0,1.0,0.0,1.0,3.0,2.0,16.0,5.0
OG Anunoby,Raptors,"NOV 01, 2023",TOR vs. MIL,W,25.0,7.0,7.0,100.0%,1.0,1.0,100.0%,1.0,2.0,50.0%,0.0,2.0,2.0,3.0,1.0,0.0,2.0,5.0,16.0,16.0
OG Anunoby,Raptors,"OCT 30, 2023",TOR vs. POR,L,30.0,4.0,12.0,33.3%,2.0,9.0,22.2%,0.0,0.0,0.0%,0.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,10.0,0.0
OG Anunoby,Raptors,"OCT 27, 2023",TOR @ CHI,L,28.0,5.0,8.0,62.5%,1.0,4.0,25.0%,0.0,1.0,0.0%,0.0,3.0,3.0,0.0,2.0,0.0,1.0,2.0,11.0,28.0
OG Anunoby,Raptors,"OCT 25, 2023",TOR vs. MIN,W,34.0,7.0,13.0,53.8%,4.0,9.0,44.4%,2.0,2.0,100.0%,0.0,6.0,6.0,1.0,2.0,3.0,2.0,2.0,20.0,6.0
OG Anunoby - Average,Average,,,,31.5,6.25,12.25,,2.75,7.0,,1.125,1.875,,0.625,3.375,4.0,1.75,1.25,0.625,1.625,2.25,16.375,5.75
Ryan Arcidiacono,Knicks,"NOV 12, 2023",NYK vs. CHA,W,3.0,0.0,1.0,0.0%,0.0,1.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Ryan Arcidiacono,Knicks,"NOV 08, 2023",NYK vs. SAS,W,2.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Ryan Arcidiacono,Knicks,"OCT 31, 2023",NYK @ CLE,W,2.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ryan Arcidiacono - Average,Average,,,,2.3333333333333335,0.0,0.3333333333333333,,0.0,0.3333333333333333,,0.0,0.0,,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667
Deni Avdija,Wizards,"NOV 12, 2023",WAS @ BKN,L,38.0,6.0,18.0,33.3%,1.0,8.0,12.5%,1.0,2.0,50.0%,2.0,7.0,9.0,3.0,3.0,0.0,2.0,2.0,14.0,-1.0
Deni Avdija,Wizards,"NOV 10, 2023",WAS vs. CHA,L,31.0,5.0,9.0,55.6%,1.0,4.0,25.0%,0.0,0.0,0.0%,1.0,5.0,6.0,5.0,1.0,1.0,3.0,2.0,11.0,9.0
Deni Avdija,Wizards,"NOV 08, 2023",WAS @ CHA,W,28.0,3.0,10.0,30.0%,0.0,1.0,0.0%,3.0,3.0,100.0%,1.0,2.0,3.0,5.0,0.0,1.0,1.0,4.0,9.0,-5.0
Deni Avdija,Wizards,"NOV 06, 2023",WAS @ PHI,L,28.0,5.0,8.0,62.5%,2.0,4.0,50.0%,4.0,4.0,100.0%,1.0,4.0,5.0,6.0,1.0,0.0,1.0,1.0,16.0,-11.0
Deni Avdija,Wizards,"NOV 03, 2023",WAS @ MIA,L,24.0,6.0,8.0,75.0%,1.0,2.0,50.0%,1.0,2.0,50.0%,0.0,4.0,4.0,3.0,0.0,0.0,2.0,1.0,14.0,-14.0
