Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Giannis Antetokounmpo,Bucks,"OCT 26, 2023",MIL vs. PHI,W,35,10,21,47.6%,0,3,0.0%,3,9,33.3%,4,8,12,3,2,2,7,4,23,-13
Giannis Antetokounmpo - Average,Average,,,,32.5,11.0,18.9,57.1%,0.6,2.4,18.1%,6.9,10.8,62.7%,2.3,7.3,9.6,3.6,0.9,1.3,4.3,2.9,29.5,2.5
Thanasis Antetokounmpo,Bucks,"NOV 11, 2023",MIL @ ORL,L,10,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,2,0,1,1,2,0,6
Thanasis Antetokounmpo,Bucks,"NOV 01, 2023",MIL @ TOR,L,4,0,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,4
Thanasis Antetokounmpo,Bucks,"OCT 29, 2023",MIL vs. ATL,L,8,1,1,100.0%,0,0,0.0%,0,0,0.0%,0,0,0,2,1,0,3,2,2,14
Thanasis Antetokounmpo - Average,Average,,,,7.3,0.3,0.7,33.3%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,1.3,0.3,0.3,1.3,1.3,0.7,8.0
Cole Anthony,Magic,"NOV 14, 2023",ORL @ BKN,L,28,2,10,20.0%,2,8,25.0%,4,4,100.0%,3,3,6,2,0,0,4,0,10,1
Cole Anthony,Magic,"NOV 11, 2023",ORL vs. MIL,W,14,0,3,0.0%,0,1,0.0%,4,4,100.0%,0,2,2,3,1,0,3,2,4,14
Cole Anthony,Magic,"NOV 09, 2023",ORL vs. ATL,L,23,1,7,14.3%,0,4,0.0%,5,6,83.3%,1,1,2,2,0,0,3,3,7,-3
Cole Anthony,Magic,"NOV 06, 2023",ORL vs. DAL,L,30,7,13,53.8%,2,5,40.0%,3,5,60.0%,0,2,2,5,1,2,3,3,19,-14
Cole Anthony,Magic,"NOV 04, 2023",ORL vs. LAL,W,23,4,9,44.4%,3,5,60.0%,3,3,100.0%,3,2,5,1,0,0,3,1,14,-6
Cole Anthony,Magic,"NOV 02, 2023",ORL @ UTA,W,31,5,10,50.0%,2,4,50.0%,6,6,100.0%,0,7,7,7,2,0,3,3,18,-7
Cole Anthony,Magic,"OCT 31, 2023",ORL @ LAC,L,18,3,6,50.0%,0,2,0.0%,4,6,66.7%,0,2,2,1,0,0,1,3,10,-18
Cole Anthony,Magic,"OCT 30, 2023",ORL @ LAL,L,21,4,12,33.3%,1,3,33.3%,3,4,75.0%,0,3,3,2,3,0,1,2,12,-9
Cole Anthony,Magic,"OCT 27, 2023",ORL @ POR,W,28,6,15,40.0%,3,7,42.9%,3,6,50.0%,1,3,4,2,0,1,1,3,18,-9
Cole Anthony,Magic,"OCT 25, 2023",ORL vs. HOU,W,24,8,12,66.7%,1,2,50.0%,3,3,100.0%,1,7,8,2,0,0,0,2,20,17
Cole Anthony - Average,Average,,,,24.0,4.0,9.7,37.2%,1.4,4.1,30.1%,3.8,4.7,83.5%,0.9,3.2,4.1,2.7,0.7,0.3,2.2,2.2,13.2,-3.4
OG Anunoby,Raptors,"NOV 11, 2023",TOR @ BOS,L,28,3,13,23.1%,2,8,25.0%,0,0,0.0%,1,2,3,2,1,0,0,0,8,-26
OG Anunoby,Raptors,"NOV 08, 2023",TOR @ DAL,W,36,9,17,52.9%,3,8,37.5%,5,6,83.3%,1,4,5,2,0,0,2,4,26,9
OG Anunoby,Raptors,"NOV 05, 2023",TOR @ SAS,W,38,8,16,50.0%,7,13,53.8%,1,4,25.0%,2,4,6,4,2,0,1,3,24,8
OG Anunoby,Raptors,"NOV 02, 2023",TOR @ PHI,L,33,7,12,58.3%,2,4,50.0%,0,0,0.0%,1,3,4,1,0,1,3,2,16,5
OG Anunoby,Raptors,"NOV 01, 2023",TOR vs. MIL,W,25,7,7,100.0%,1,1,100.0%,1,2,50.0%,0,2,2,3,1,0,2,5,16,16
OG Anunoby,Raptors,"OCT 30, 2023",TOR vs. POR,L,30,4,12,33.3%,2,9,22.2%,0,0,0.0%,0,3,3,1,2,1,2,0,10,0
OG Anunoby,Raptors,"OCT 27, 2023",TOR @ CHI,L,28,5,8,62.5%,1,4,25.0%,0,1,0.0%,0,3,3,0,2,0,1,2,11,28
OG Anunoby,Raptors,"OCT 25, 2023",TOR vs. MIN,W,34,7,13,53.8%,4,9,44.4%,2,2,100.0%,0,6,6,1,2,3,2,2,20,6
OG Anunoby - Average,Average,,,,31.5,6.2,12.2,54.2%,2.8,7.0,44.7%,1.1,1.9,32.3%,0.6,3.4,4.0,1.8,1.2,0.6,1.6,2.2,16.4,5.8
Ryan Arcidiacono,Knicks,"NOV 12, 2023",NYK vs. CHA,W,3,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,-4
Ryan Arcidiacono,Knicks,"NOV 08, 2023",NYK vs. SAS,W,2,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,-2
Ryan Arcidiacono,Knicks,"OCT 31, 2023",NYK @ CLE,W,2,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,0,0,0,0,0,1
Ryan Arcidiacono - Average,Average,,,,2.3,0.0,0.3,0.0%,0.0,0.3,0.0%,0.0,0.0,0.0%,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-1.7
Deni Avdija,Wizards,"NOV 13, 2023",WAS @ TOR,L,30,4,7,57.1%,1,1,100.0%,0,0,0.0%,1,7,8,6,0,0,4,2,9,-2
Deni Avdija,Wizards,"NOV 12, 2023",WAS @ BKN,L,38,6,18,33.3%,1,8,12.5%,1,2,50.0%,2,7,9,3,3,0,2,2,14,-1
Deni Avdija,Wizards,"NOV 10, 2023",WAS vs. CHA,L,31,5,9,55.6%,1,4,25.0%,0,0,0.0%,1,5,6,5,1,1,3,2,11,9
Deni Avdija,Wizards,"NOV 08, 2023",WAS @ CHA,W,28,3,10,30.0%,0,1,0.0%,3,3,100.0%,1,2,3,5,0,1,1,4,9,-5
Deni Avdija,Wizards,"NOV 06, 2023",WAS @ PHI,L,28,5,8,62.5%,2,4,50.0%,4,4,100.0%,1,4,5,6,1,0,1,1,16,-11
Deni Avdija,Wizards,"NOV 03, 2023",WAS @ MIA,L,24,6,8,75.0%,1,2,50.0%,1,2,50.0%,0,4,4,3,0,0,2,1,14,-14
Deni Avdija,Wizards,"NOV 01, 2023",WAS @ ATL,L,24,10,16,62.5%,2,4,50.0%,0,1,0.0%,3,2,5,3,2,1,1,5,22,3
Deni Avdija,Wizards,"OCT 30, 2023",WAS vs. BOS,L,22,4,10,40.0%,1,3,33.3%,2,2,100.0%,2,5,7,1,1,0,0,4,11,-26
Deni Avdija,Wizards,"OCT 28, 2023",WAS vs. MEM,W,27,4,8,50.0%,2,3,66.7%,0,0,0.0%,2,4,6,2,2,0,1,2,10,9
Deni Avdija,Wizards,"OCT 25, 2023",WAS @ IND,L,21,4,8,50.0%,0,0,0.0%,1,2,50.0%,2,5,7,5,1,0,2,0,9,-15
Deni Avdija - Average,Average,,,,27.3,5.1,10.2,51.6%,1.1,3.0,38.8%,1.2,1.6,45.0%,1.5,4.5,6.0,3.9,1.1,0.3,1.7,2.3,12.5,-5.3
Deandre Ayton,Trail Blazers,"NOV 14, 2023",POR @ UTA,L,34,10,17,58.8%,0,0,0.0%,2,2,100.0%,5,5,10,3,0,0,2,1,22,-5
Deandre Ayton,Trail Blazers,"NOV 12, 2023",POR @ LAL,L,34,6,10,60.0%,0,0,0.0%,0,0,0.0%,0,7,7,0,0,2,2,2,12,-17
